# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float32}
# - {name: lcerr, datatype: float32}
# - {name: polynomial, datatype: float64}
# - {name: ypos, datatype: float64}
# - {name: ywidth, datatype: float64}
# - {name: astrophysical model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr polynomial ypos ywidth "astrophysical model" model residuals
2460776.88737935 0.075 0.0 0.98139954 0.001268272 1.0033719457818693 1.0 1.0 0.9779995426022405 0.9812973040345883 0.00010223209822424195
2460776.8887682166 0.075 0.0 0.9806428 0.0012676542 1.003371352879472 1.0 1.0 0.9776861160362683 0.980982240938787 -0.0003394453760429128
2460776.8901570835 0.075 0.0 0.9836193 0.0012697902 1.0033707599768762 1.0 1.0 0.9773936830950419 0.9806882426036703 0.002931030105222554
2460776.8915459504 0.075 0.0 0.9812811 0.0012682197 1.0033701670742803 1.0 1.0 0.9771206364685575 0.9804136962651836 0.0008674054384602004
2460776.8929348174 0.075 0.0 0.98061186 0.0012683711 1.0033695741716844 1.0 1.0 0.9768656667854594 0.9801572881054649 0.0004545726466408384
2460776.894323684 0.075 0.0 0.9805172 0.0012679152 1.0033689812692874 1.0 1.0 0.9766276908554026 0.9799179312529619 0.0005992773232404991
2460776.8957125507 0.075 0.0 0.98124605 0.0012679959 1.0033683883666915 1.0 1.0 0.9764058010556728 0.9796947149971188 0.0015513391753970707
2460776.8971014176 0.075 0.0 0.97809976 0.0012667429 1.0033677954640956 1.0 1.0 0.9761992295702557 0.979486868907656 -0.0013871055142539168
2460776.8984902846 0.075 0.0 0.9775177 0.0012672901 1.0033672025614997 1.0 1.0 0.9760073213002028 0.9792937356525273 -0.0017760116153568983
2460776.899879151 0.075 0.0 0.97902584 0.0012680124 1.0033666096591025 1.0 1.0 0.9758295138201961 0.9791147508870605 -8.891012778311502e-05
2460776.901268018 0.075 0.0 0.98162264 0.0012677133 1.0033660167565066 1.0 1.0 0.9756653216551465 0.9789494274765802 0.0026732088416265842
2460776.9026568844 0.075 0.0 0.97926843 0.0012672626 1.0033654238541094 1.0 1.0 0.9755143246204706 0.9787973437985737 0.00047108786493943455
2460776.9040457513 0.075 0.0 0.9760076 0.0012661746 1.0033648309515135 1.0 1.0 0.9753761578639024 0.9786581337492513 -0.0026505529921101445
2460776.9054346182 0.075 0.0 0.9764667 0.0012664504 1.0033642380489176 1.0 1.0 0.9752505046452469 0.9785314795002005 -0.0020647641643545267
2460776.9068234847 0.075 0.0 0.97987777 0.0012677731 1.0033636451465204 1.0 1.0 0.975137090067854 0.9784171052080528 0.0014606647389991956
2460776.9082123516 0.075 0.0 0.97845066 0.0012669109 1.0033630522439245 1.0 1.0 0.9750356760499591 0.9783147719682054 0.00013588396898944755
2460776.909601218 0.075 0.0 0.97681576 0.0012658107 1.0033624593415276 1.0 1.0 0.9749460575718696 0.9782242740506376 -0.0014085139149869752
2460776.910990085 0.075 0.0 0.9782155 0.0012664862 1.0033618664389317 1.0 1.0 0.9748680591396104 0.9781454353500183 7.008026353760854e-05
2460776.9123789514 0.075 0.0 0.9782412 0.0012673358 1.0033612735365345 1.0 1.0 0.9748015323707149 0.9780781069648459 0.00016309825060822902
2460776.9137678184 0.075 0.0 0.9768711 0.0012666606 1.0033606806339386 1.0 1.0 0.9747463536357268 0.9780221648293926 -0.00115109158339044
2460776.915156685 0.075 0.0 0.97624516 0.00126645 1.0033600877315414 1.0 1.0 0.9747024225147212 0.9779775081665165 -0.0017323432953006979
2460776.9165455517 0.075 0.0 0.9764141 0.001266361 1.0033594948289455 1.0 1.0 0.9746696602937507 0.9779440579774376 -0.0015299735429282757
2460776.917934418 0.075 0.0 0.9781906 0.0012671679 1.0033589019265483 1.0 1.0 0.9746480090485434 0.977921756123843 0.0002688447481967726
2460776.919323285 0.075 0.0 0.9787975 0.0012680842 1.0033583090239524 1.0 1.0 0.9746374308096951 0.9779105644886651 0.0008869308764777317
2460776.9207121516 0.075 0.0 0.9776555 0.0012668158 1.0033577161215552 1.0 1.0 0.9746379071379889 0.977910464551465 -0.0002549941802186817
2460776.9221010185 0.075 0.0 0.97951645 0.001267811 1.0033571232189593 1.0 1.0 0.9746494388629946 0.9779214571245473 0.0015949894658763286
2460776.923489885 0.075 0.0 0.9776034 0.0012668199 1.0033565303165624 1.0 1.0 0.9746720460922421 0.9779435623636565 -0.0003401864519438913
2460776.9248787514 0.075 0.0 0.97903043 0.001267206 1.0033559374141652 1.0 1.0 0.974705768483191 0.9779768200394464 0.0010536102774786338
2460776.9262676183 0.075 0.0 0.9778949 0.00126746 1.0033553445115693 1.0 1.0 0.9747506657532967 0.9780212900497806 -0.00012638782047147412
2460776.927656485 0.075 0.0 0.9766593 0.0012662937 1.003354751609172 1.0 1.0 0.9748068183886259 0.978077053131247 -0.0014177551881318085
2460776.9290453517 0.075 0.0 0.978454 0.0012675667 1.0033541587065762 1.0 1.0 0.9748743288191499 0.9781442120369763 0.0003097817603259223
2460776.930434218 0.075 0.0 0.97872007 0.0012673638 1.003353565804179 1.0 1.0 0.9749533226529846 0.9782228927765043 0.000497176155075274
2460776.9318230846 0.075 0.0 0.97900355 0.0012675262 1.003352972901782 1.0 1.0 0.9750439505816297 0.9783132465259765 0.0006903020961548378
2460776.9332119515 0.075 0.0 0.97882724 0.0012668703 1.0033523799991861 1.0 1.0 0.9751463905188635 0.9784154517747176 0.00041178630816818274
2460776.934600818 0.075 0.0 0.97820413 0.0012668465 1.003351787096789 1.0 1.0 0.9752608501830498 0.9785297169166968 -0.0003255857902929593
2460776.9359896844 0.075 0.0 0.98129284 0.0012680286 1.0033511941943918 1.0 1.0 0.9753875706254415 0.9786562837894034 0.002636560029261159
2460776.937378551 0.075 0.0 0.98011035 0.0012677875 1.0033506012919946 1.0 1.0 0.9755268301776655 0.9787954316352342 0.001314915635731384
2460776.938767418 0.075 0.0 0.97802746 0.0012672485 1.0033500083893987 1.0 1.0 0.9756789495606502 0.9789474822270381 -0.0009200192677485397
2460776.9401562843 0.075 0.0 0.9818794 0.0012683448 1.0033494154870017 1.0 1.0 0.975844297888177 0.979112805892426 0.002766607235473173
2460776.9415451507 0.075 0.0 0.9783225 0.0012676825 1.0033488225846046 1.0 1.0 0.9760233007054484 0.9792918295779511 -0.0009693236270233996
2460776.942934017 0.075 0.0 0.9779538 0.001267134 1.0033482296822074 1.0 1.0 0.9762164494990113 0.979485046391483 -0.0015312547731358706
2460776.9443228836 0.075 0.0 0.9797062 0.00126764 1.0033476367798102 1.0 1.0 0.9764243140673572 0.9796930280138301 1.3199765558358223e-05
2460776.9457117505 0.075 0.0 0.97731966 0.001266492 1.0033470438772143 1.0 1.0 0.9766475584357049 0.9799164406663634 -0.0025967828637816215
2460776.947100617 0.075 0.0 0.9804022 0.001267707 1.0033464509748173 1.0 1.0 0.9768869612167093 0.9801560655403593 0.00024610607142661056
2460776.9484894834 0.075 0.0 0.98086244 0.0012686353 1.0033458580724202 1.0 1.0 0.9771434435087604 0.9804128267871366 0.0004496118916048619
2460776.94987835 0.075 0.0 0.9803075 0.0012677982 1.003345265170023 1.0 1.0 0.9774181058411017 0.9806878285871218 -0.00038030915123921094
2460776.9512672164 0.075 0.0 0.9811151 0.0012687334 1.0033446722676258 1.0 1.0 0.9777122800560594 0.9809824072048801 0.00013269556306427788
2460776.952656083 0.075 0.0 0.9818188 0.0012682268 1.0033440793652288 1.0 1.0 0.9780276036262541 0.9812982055541648 0.0005205896499977936
2460776.9540449493 0.075 0.0 0.9817752 0.0012683255 1.0033434864628317 1.0 1.0 0.9783661303534495 0.9816372842659793 0.0001379399428524941
2460776.9554338157 0.075 0.0 0.9822612 0.0012691806 1.0033428935604345 1.0 1.0 0.9787305033488738 0.9820022952459195 0.00025888563176601487
2460776.956822682 0.075 0.0 0.98314446 0.0012688256 1.0033423006580373 1.0 1.0 0.9791242430031475 0.9823967706048372 0.0007476915037748499
2460776.9582115486 0.075 0.0 0.9824777 0.0012697789 1.0033417077556404 1.0 1.0 0.9795522708892145 0.9828256483099 -0.0003479237577455052
2460776.959600415 0.075 0.0 0.98283535 0.0012687595 1.0033411148532432 1.0 1.0 0.9800220019663957 0.9832963680336707 -0.0004610156128638243
2460776.9609892815 0.075 0.0 0.98365957 0.0012687477 1.003340521950846 1.0 1.0 0.9805462524058962 0.9838217886858779 -0.00016222323711689857
2460776.962378148 0.075 0.0 0.98614806 0.001270536 1.0033399290484488 1.0 1.0 0.9812199821809827 0.9844971873023874 0.0016508720657461007
2460776.9637670144 0.075 0.0 0.9856361 0.0012705274 1.0033393361460519 1.0 1.0 0.9827503229562992 0.9860320566322913 -0.00039594155813360565
2460776.965155881 0.075 0.0 0.98880506 0.001272469 1.0033387432436547 1.0 1.0 0.9847051884101677 0.9879928662049638 0.000812189413322284
2460776.9665447474 0.075 0.0 0.9890978 0.0012717389 1.0033381503412575 1.0 1.0 0.9868580452929663 0.9901523258136337 -0.001054551784855584
2460776.967933614 0.075 0.0 0.9916411 0.0012733795 1.0033375574388603 1.0 1.0 0.9890873784902082 0.992388514427971 -0.0007474102066270527
2460776.9693224803 0.075 0.0 0.9957117 0.0012747211 1.0033369645364634 1.0 1.0 0.9913051383738876 0.9946130884654552 0.0010985957615345932
2460776.9707113467 0.075 0.0 0.9960513 0.0012750953 1.0033363716340662 1.0 1.0 0.9934382291688522 0.996752708296848 -0.0007013968039281115
2460776.972100213 0.075 0.0 1.0007019 0.0012766587 1.003335778731669 1.0 1.0 0.9954195600056344 0.9987400594029885 0.0019618448938865107
2460776.9734890796 0.075 0.0 1.000539 0.0012770342 1.0033351858292718 1.0 1.0 0.9971809567000607 1.0005067404960664 3.220470199272185e-05
2460776.974877946 0.075 0.0 1.0028065 0.0012778746 1.0033345929268749 1.0 1.0 0.9986431526006019 1.001973220993736 0.0008333233101580628
2460776.9762668125 0.075 0.0 1.0060145 0.0012789416 1.0033340000244777 1.0 1.0 0.9996889859785677 1.0030219490822903 0.0029925172034153125
2460776.9776556785 0.075 0.0 1.0035597 0.0012788211 1.0033334071222795 1.0 1.0 1.0 1.0033334071222795 0.00022630147299640413
